序号,学号,学院,专业,班级,加权平均成绩,算术平均成绩,能力评价总分,基本素质总分,综合评价总分,加权平均成绩年级专业排名,科研创新总分排名,专业技能总分排名,文体特长总分排名,团学工作总分排名,社会实践总分排名,必修课程门数,必修课程及格门数,体测成绩
6559,201721050063,刑事司法学院,侦查学,职侦1701,90.39,90.85,5.05,92,65.03/117,10/117,7/117,5/117,33/117,45/117,11/117,26,26,合格
6560,201721050043,刑事司法学院,侦查学,职侦1701,85.84,86.81,9.48,94,64.16/117,34/117,9/117,5/117,18/117,6/117,5/117,26,26,合格
6561,201721050031,刑事司法学院,侦查学,职侦1701,89.09,89.81,2.25,96,64.07/117,17/117,12/117,5/117,33/117,45/117,11/117,27,27,合格
6562,201721050130,刑事司法学院,侦查学,侦查1701,86.99,88.63,4.20,98,63.80/117,21/117,12/117,10/117,6/117,45/117,11/117,27,27,合格
6563,201721050111,刑事司法学院,侦查学,侦查1701,86.88,88.17,3.18,100,63.74/117,22/117,12/117,14/117,10/117,34/117,11/117,24,24,合格
6564,201721050162,刑事司法学院,侦查学,侦查1701,89.52,89.85,3.30,90,63.73/117,15/117,12/117,5/117,26/117,20/117,11/117,27,27,合格
6565,201721050051,刑事司法学院,侦查学,职侦1701,89.35,90.96,2.50,92,63.69/117,16/117,12/117,32/117,14/117,16/117,11/117,24,24,合格
6566,201721050061,刑事司法学院,侦查学,侦查1701,86.49,89.89,3.90,98,63.44/117,26/117,12/117,22/117,33/117,38/117,5/117,28,28,合格
6567,201721050164,刑事司法学院,侦查学,侦查1701,86.81,86.77,6.00,92,63.35/117,23/117,12/117,2/117,33/117,45/117,11/117,26,25,合格
6568,201721050137,刑事司法学院,侦查学,职侦1701,89.79,90.17,1.80,89,63.27/117,13/117,12/117,22/117,33/117,26/117,11/117,23,23,合格
6569,201721050179,刑事司法学院,侦查学,侦查1701,88.07,88.92,1.42,96,63.26/117,20/117,12/117,32/117,33/117,41/117,7/117,26,26,合格
6570,201721050292,刑事司法学院,侦查学,侦查1701,86.68,87.76,1.50,100,63.12/117,24/117,12/117,14/117,33/117,45/117,11/117,25,25,合格
6571,201721050336,刑事司法学院,侦查学,职侦1701,85.61,86.96,4.70,96,62.90/117,38/117,12/117,20/117,14/117,1/117,11/117,26,26,合格
6572,201721050318,刑事司法学院,侦查学,侦查1701,86.04,86.80,4.45,94,62.76/117,31/117,12/117,22/117,6/117,16/117,11/117,25,25,合格
6573,201721050285,刑事司法学院,侦查学,侦查1701,86.59,87.36,0.45,98,62.46/117,25/117,12/117,41/117,33/117,45/117,11/117,25,25,合格
6574,201721050319,刑事司法学院,侦查学,侦查1701,86.20,88.07,1.82,94,62.06/117,28/117,12/117,31/117,33/117,16/117,11/117,27,27,合格
6575,201721050327,刑事司法学院,侦查学,职侦1701,85.69,86.67,2.62,94,62.02/117,37/117,12/117,14/117,33/117,16/117,8/117,27,27,合格
6576,201721050322,刑事司法学院,侦查学,职侦1701,84.96,85.89,4.45,93,62.01/117,43/117,10/117,41/117,5/117,38/117,11/117,27,27,合格
6577,201721050288,刑事司法学院,侦查学,职侦1701,86.16,87.11,0.45,96,61.92/117,29/117,12/117,41/117,33/117,45/117,11/117,27,27,合格
6578,201721050014,刑事司法学院,侦查学,侦查1701,85.43,85.73,0.00,98,61.69/117,42/117,12/117,59/117,33/117,45/117,11/117,22,22,合格
6579,201721050298,刑事司法学院,侦查学,侦查1701,85.82,87.19,4.25,88,61.68/117,35/117,4/117,59/117,14/117,45/117,11/117,27,27,合格
6580,201721050054,刑事司法学院,侦查学,侦查1701,85.59,86.73,1.65,94,61.67/117,39/117,12/117,41/117,11/117,45/117,11/117,26,26,合格
6581,201721050170,刑事司法学院,侦查学,职侦1701,86.16,87.46,0.75,92,61.41/117,29/117,12/117,32/117,33/117,45/117,11/117,24,24,合格
6582,201721050081,刑事司法学院,侦查学,职侦1701,85.77,86.23,1.28,92,61.36/117,36/117,12/117,22/117,29/117,45/117,11/117,26,26,合格
6583,201721050316,刑事司法学院,侦查学,职侦1701,86.30,87.69,2.32,88,61.36/117,27/117,12/117,59/117,33/117,2/117,8/117,26,26,合格
6584,201721050102,刑事司法学院,侦查学,职侦1701,83.29,86.07,4.75,94,61.33/117,55/117,12/117,41/117,2/117,27/117,11/117,27,27,合格
6585,201721050329,刑事司法学院,侦查学,职侦1701,85.48,87.04,2.60,90,61.29/117,40/117,12/117,10/117,33/117,25/117,11/117,27,27,合格
6586,201721050317,刑事司法学院,侦查学,侦查1701,84.61,85.70,2.12,93,61.12/117,47/117,12/117,14/117,29/117,27/117,11/117,27,27,合格
6587,201721050142,刑事司法学院,侦查学,侦查1701,84.38,86.36,1.50,94,60.96/117,50/117,12/117,14/117,33/117,45/117,11/117,25,25,合格
6588,201721050157,刑事司法学院,侦查学,职侦1701,84.85,86.96,0.45,94,60.90/117,44/117,12/117,41/117,33/117,45/117,11/117,27,27,合格
6589,201721050049,刑事司法学院,侦查学,职侦1701,84.62,85.92,0.75,94,60.87/117,46/117,12/117,32/117,33/117,45/117,11/117,26,26,不合格
6590,201721050122,刑事司法学院,侦查学,职侦1701,84.00,85.89,2.55,91,60.62/117,51/117,12/117,22/117,24/117,13/117,11/117,27,27,合格
6591,201721050072,刑事司法学院,侦查学,侦查1701,85.92,87.23,0.40,86,60.28/117,33/117,12/117,59/117,33/117,34/117,11/117,26,26,合格
6592,201721050294,刑事司法学院,侦查学,侦查1701,82.78,84.08,0.75,96,60.15/117,61/117,12/117,32/117,33/117,45/117,11/117,26,26,合格
6593,201721050167,刑事司法学院,侦查学,侦查1701,84.45,84.71,2.05,87,60.11/117,49/117,12/117,41/117,33/117,6/117,11/117,24,24,合格
6594,201721050307,刑事司法学院,侦查学,职侦1701,82.13,84.62,2.58,94,60.05/117,65/117,12/117,22/117,33/117,9/117,8/117,26,26,合格
6595,201721050050,刑事司法学院,侦查学,侦查1701,82.93,84.04,1.05,93,59.88/117,59/117,12/117,59/117,33/117,13/117,11/117,26,26,合格
6596,201721050293,刑事司法学院,侦查学,职侦1701,84.53,86.32,0.00,89,59.84/117,48/117,12/117,59/117,33/117,45/117,11/117,25,25,合格
6597,201721050112,刑事司法学院,侦查学,职侦1701,83.16,85.08,1.95,88,59.52/117,57/117,12/117,41/117,9/117,45/117,11/117,26,26,合格
6598,201721050084,刑事司法学院,侦查学,职侦1701,83.82,85.25,1.60,86,59.48/117,52/117,12/117,22/117,33/117,34/117,11/117,25,24,合格
6599,201721050296,刑事司法学院,侦查学,职侦1701,83.55,85.46,0.55,88,59.32/117,54/117,12/117,41/117,33/117,40/117,11/117,27,25,合格
6600,201721050067,刑事司法学院,侦查学,侦查1701,83.56,84.85,0.80,87,59.25/117,53/117,12/117,32/117,33/117,41/117,11/117,26,26,合格
6601,201721050283,刑事司法学院,侦查学,职侦1701,82.58,83.12,0.45,91,59.20/117,63/117,12/117,41/117,33/117,45/117,11/117,26,26,合格
6602,201721050156,刑事司法学院,侦查学,职侦1701,81.69,82.30,0.95,92,59.01/117,72/117,12/117,41/117,33/117,30/117,11/117,27,26,合格
6603,201721050071,刑事司法学院,侦查学,职侦1701,81.89,83.54,0.52,92,59.00/117,68/117,12/117,41/117,29/117,45/117,11/117,26,26,合格
6604,201721050030,刑事司法学院,侦查学,职侦1701,81.92,83.56,1.60,89,58.89/117,67/117,12/117,41/117,33/117,11/117,11/117,27,27,合格
6605,201721050120,刑事司法学院,侦查学,职侦1701,79.24,82.31,4.32,89,58.23/117,86/117,8/117,41/117,11/117,41/117,11/117,26,26,合格
6606,201721050003,刑事司法学院,侦查学,侦查1701,81.53,83.12,0.50,88,58.19/117,75/117,12/117,59/117,33/117,30/117,11/117,26,26,合格
6607,201721050313,刑事司法学院,侦查学,职侦1701,80.83,82.08,0.85,89,58.06/117,76/117,12/117,59/117,33/117,23/117,11/117,25,25,合格
6608,201721050053,刑事司法学院,侦查学,侦查1701,79.34,81.73,1.25,93,57.96/117,85/117,12/117,32/117,33/117,30/117,11/117,26,25,合格
6609,201721050173,刑事司法学院,侦查学,侦查1701,80.11,81.58,1.95,86,57.55/117,80/117,12/117,59/117,14/117,10/117,11/117,26,26,合格
6610,201721050154,刑事司法学院,侦查学,侦查1701,78.21,80.19,1.75,93,57.49/117,94/117,12/117,59/117,21/117,11/117,11/117,26,26,合格
6611,201721050080,刑事司法学院,侦查学,职侦1701,79.74,81.32,0.52,89,57.36/117,81/117,12/117,41/117,29/117,45/117,11/117,26,26,合格
6612,201721050159,刑事司法学院,侦查学,职侦1701,78.87,80.91,0.45,91,57.16/117,89/117,12/117,41/117,33/117,45/117,11/117,23,23,合格
6613,201721050314,刑事司法学院,侦查学,职侦1701,77.71,79.32,0.50,88,56.09/117,99/117,12/117,41/117,33/117,41/117,11/117,25,25,合格
6614,201721050093,刑事司法学院,侦查学,侦查1701,89.79,90.25,0,0,49.38/117,13/117,12/117,59/117,33/117,45/117,11/117,24,24,合格
6615,201721050125,刑事司法学院,侦查学,侦查1701,86.04,87.33,0,0,47.32/117,31/117,12/117,59/117,33/117,45/117,11/117,27,27,合格
6616,201721050141,刑事司法学院,侦查学,职侦1701,85.47,79.91,0,0,47.01/117,41/117,12/117,59/117,33/117,45/117,11/117,22,20,不合格
6617,201721050005,刑事司法学院,侦查学,职侦1701,84.66,86.28,0,0,46.56/117,45/117,12/117,59/117,33/117,45/117,11/117,26,25,合格
6618,201721050136,刑事司法学院,侦查学,侦查1701,83.22,85.19,0,0,45.77/117,56/117,12/117,59/117,33/117,45/117,11/117,27,27,合格
6619,201721050015,刑事司法学院,侦查学,职侦1701,82.95,82.87,0,0,45.62/117,58/117,12/117,59/117,33/117,45/117,11/117,23,23,不合格
6620,201721050040,刑事司法学院,侦查学,职侦1701,82.83,83.46,0,0,45.56/117,60/117,12/117,59/117,33/117,45/117,11/117,24,24,合格
6621,201721050161,刑事司法学院,侦查学,侦查1701,82.70,83.48,0,0,45.49/117,62/117,12/117,59/117,33/117,45/117,11/117,25,25,合格
6622,201721050069,刑事司法学院,侦查学,职侦1701,82.40,81.63,0,0,45.32/117,64/117,12/117,59/117,33/117,45/117,11/117,27,26,合格
6623,201721050332,刑事司法学院,侦查学,侦查1701,81.99,82.75,0,0,45.09/117,66/117,12/117,59/117,33/117,45/117,11/117,24,24,合格
6624,201721050022,刑事司法学院,侦查学,职侦1701,81.75,82.88,0,0,44.96/117,69/117,12/117,59/117,33/117,45/117,11/117,24,24,合格
6625,201721050143,刑事司法学院,侦查学,侦查1701,81.72,83.00,0,0,44.95/117,70/117,12/117,59/117,33/117,45/117,11/117,24,24,不合格
6626,201721050177,刑事司法学院,侦查学,侦查1701,81.71,83.70,0,0,44.94/117,71/117,12/117,59/117,33/117,45/117,11/117,27,27,合格
6627,201721050088,刑事司法学院,侦查学,职侦1701,81.61,84.24,0,0,44.89/117,73/117,12/117,59/117,33/117,45/117,11/117,25,25,合格
6628,201721050138,刑事司法学院,侦查学,侦查1701,81.60,83.73,0,0,44.88/117,74/117,12/117,59/117,33/117,45/117,11/117,26,25,合格
6629,201721050027,刑事司法学院,侦查学,职侦1701,80.75,81.92,0,0,44.41/117,77/117,12/117,59/117,33/117,45/117,11/117,25,25,合格
6630,201721050024,刑事司法学院,侦查学,职侦1701,80.53,81.74,0,0,44.29/117,78/117,12/117,59/117,33/117,45/117,11/117,23,23,不合格
6631,201721050110,刑事司法学院,侦查学,侦查1701,80.23,82.63,0,0,44.13/117,79/117,12/117,59/117,33/117,45/117,11/117,24,23,合格
6632,201721050021,刑事司法学院,侦查学,侦查1701,79.62,79.43,0,0,43.79/117,82/117,12/117,59/117,33/117,45/117,11/117,23,22,合格
6633,201721050146,刑事司法学院,侦查学,职侦1701,79.39,81.22,0,0,43.66/117,83/117,12/117,59/117,33/117,45/117,11/117,23,23,合格
6634,201721050153,刑事司法学院,侦查学,职侦1701,79.38,80.68,0,0,43.66/117,84/117,12/117,59/117,33/117,45/117,11/117,22,22,合格
6635,201721050023,刑事司法学院,侦查学,侦查1701,79.17,81.15,0,0,43.54/117,87/117,12/117,59/117,33/117,45/117,11/117,26,26,合格
6636,201721050155,刑事司法学院,侦查学,侦查1701,79.07,79.15,0,0,43.49/117,88/117,12/117,59/117,33/117,45/117,11/117,26,25,合格
6637,201721050158,刑事司法学院,侦查学,侦查1701,78.57,79.81,0,0,43.21/117,90/117,12/117,59/117,33/117,45/117,11/117,26,26,合格
6638,201721050010,刑事司法学院,侦查学,职侦1701,78.43,80.71,0,0,43.14/117,91/117,12/117,59/117,33/117,45/117,11/117,24,23,合格
6639,201721050082,刑事司法学院,侦查学,职侦1701,78.38,81.16,0,0,43.11/117,92/117,12/117,59/117,33/117,45/117,11/117,25,25,合格
6640,201721050007,刑事司法学院,侦查学,侦查1701,78.29,79.42,0,0,43.06/117,93/117,12/117,59/117,33/117,45/117,11/117,24,23,合格
6641,201721050306,刑事司法学院,侦查学,侦查1701,77.99,80.24,0,0,42.89/117,95/117,12/117,59/117,33/117,45/117,11/117,26,25,合格
6642,201721050309,刑事司法学院,侦查学,职侦1701,77.89,79.39,0,0,42.84/117,96/117,12/117,59/117,33/117,45/117,11/117,23,23,合格
6643,201721050064,刑事司法学院,侦查学,侦查1701,77.78,79.37,0,0,42.78/117,97/117,12/117,59/117,33/117,45/117,11/117,27,26,合格
6644,201721050115,刑事司法学院,侦查学,职侦1701,77.72,78.58,0,0,42.75/117,98/117,12/117,59/117,33/117,45/117,11/117,24,24,合格
6645,201721050006,刑事司法学院,侦查学,侦查1701,77.67,80.32,0,0,42.72/117,100/117,12/117,59/117,33/117,45/117,11/117,26,25,合格
6646,201721050026,刑事司法学院,侦查学,职侦1701,77.55,79.52,0,0,42.65/117,101/117,12/117,59/117,33/117,45/117,11/117,25,25,合格
6647,201721050019,刑事司法学院,侦查学,侦查1701,77.16,78.88,0,0,42.44/117,103/117,12/117,59/117,33/117,45/117,11/117,25,25,合格
6648,201721050175,刑事司法学院,侦查学,侦查1701,77.17,78.35,0,0,42.44/117,102/117,12/117,59/117,33/117,45/117,11/117,23,23,合格
6649,201721050333,刑事司法学院,侦查学,侦查1701,76.77,77.83,0,0,42.22/117,104/117,12/117,59/117,33/117,45/117,11/117,23,23,合格
6650,201721050105,刑事司法学院,侦查学,职侦1701,76.71,77.58,0,0,42.19/117,105/117,12/117,59/117,33/117,45/117,11/117,24,23,不合格
6651,201721050295,刑事司法学院,侦查学,职侦1701,76.67,78.27,0,0,42.17/117,106/117,12/117,59/117,33/117,45/117,11/117,26,25,合格
6652,201721050166,刑事司法学院,侦查学,职侦1701,75.82,77.48,0,0,41.70/117,107/117,12/117,59/117,33/117,45/117,11/117,25,24,不合格
6653,201721050124,刑事司法学院,侦查学,职侦1701,75.06,76.54,0,0,41.28/117,108/117,12/117,59/117,33/117,45/117,11/117,25,23,合格
6654,201721050041,刑事司法学院,侦查学,职侦1701,74.86,77.00,0,0,41.17/117,109/117,12/117,59/117,33/117,45/117,11/117,25,24,不合格
6655,201721050004,刑事司法学院,侦查学,侦查1701,74.46,75.28,0,0,40.95/117,110/117,12/117,59/117,33/117,45/117,11/117,25,23,合格
6656,201721050145,刑事司法学院,侦查学,侦查1701,74.44,76.15,0,0,40.94/117,111/117,12/117,59/117,33/117,45/117,11/117,26,25,合格
6657,201721050335,刑事司法学院,侦查学,侦查1701,74.04,76.89,0,0,40.72/117,112/117,12/117,59/117,33/117,45/117,11/117,27,26,合格
6658,201721050147,刑事司法学院,侦查学,侦查1701,72.03,73.92,0,0,39.62/117,113/117,12/117,59/117,33/117,45/117,11/117,25,24,合格
6659,201721050008,刑事司法学院,侦查学,职侦1701,69.94,72.83,0,0,38.47/117,114/117,12/117,59/117,33/117,45/117,11/117,24,19,不合格
6660,201721050302,刑事司法学院,侦查学,职侦1701,66.70,70.13,0,0,36.68/117,115/117,12/117,59/117,33/117,45/117,11/117,24,20,不合格
6661,201721050134,刑事司法学院,侦查学,侦查1701,62.71,64.46,0,0,34.49/117,116/117,12/117,59/117,33/117,45/117,11/117,26,19,合格
6662,201505050105,刑事司法学院,侦查学,职侦1701,45.74,40.77,0,0,25.16/117,117/117,12/117,59/117,33/117,45/117,11/117,13,5,合格
6663,201721050044,刑事司法学院,治安学,治安1701,89.23,90.75,21.10,96,69.81/49,3/49,1/49,1/49,4/49,25/49,6/49,28,28,合格
6664,201721050140,刑事司法学院,治安学,治安1701,92.83,92.71,4.05,98,66.97/49,1/49,8/49,1/49,18/49,9/49,6/49,24,24,合格
6665,201721050101,刑事司法学院,治安学,治安1701,86.50,87.54,6.92,100,64.65/49,9/49,9/49,9/49,1/49,1/49,6/49,26,26,合格
6666,201721050013,刑事司法学院,治安学,治安1701,90.86,90.76,2.80,90,64.31/49,2/49,6/49,27/49,24/49,24/49,3/49,25,25,合格
6667,201721050149,刑事司法学院,治安学,治安1701,88.24,88.73,5.10,93,64.01/49,5/49,3/49,9/49,11/49,19/49,6/49,26,26,合格
6668,201721050083,刑事司法学院,治安学,治安1701,88.97,89.65,0.45,98,63.77/49,4/49,9/49,9/49,24/49,25/49,6/49,26,26,合格
6669,201721050052,刑事司法学院,治安学,治安1701,87.37,88.48,4.15,96,63.70/49,7/49,9/49,9/49,5/49,3/49,6/49,27,27,合格
6670,201721050100,刑事司法学院,治安学,治安1701,86.58,87.65,3.30,98,63.31/49,8/49,9/49,9/49,11/49,15/49,2/49,26,26,合格
6671,201721050034,刑事司法学院,治安学,治安1701,85.69,86.80,4.35,98,63.13/49,13/49,6/49,1/49,16/49,23/49,4/49,25,25,合格
6672,201721050328,刑事司法学院,治安学,治安1701,85.31,86.88,3.52,100,62.98/49,16/49,9/49,1/49,7/49,11/49,5/49,26,26,合格
6673,201721050028,刑事司法学院,治安学,治安1701,86.28,87.60,2.70,98,62.96/49,10/49,9/49,8/49,14/49,6/49,6/49,25,25,合格
6674,201721050305,刑事司法学院,治安学,治安1701,85.26,86.50,5.10,95,62.67/49,17/49,3/49,9/49,19/49,11/49,6/49,26,26,合格
6675,201721050320,刑事司法学院,治安学,治安1701,84.69,86.00,4.45,98,62.61/49,20/49,5/49,9/49,19/49,10/49,6/49,26,26,合格
6676,201721050310,刑事司法学院,治安学,治安1701,85.60,87.46,4.65,94,62.58/49,14/49,9/49,9/49,2/49,2/49,6/49,26,26,合格
6677,201721050079,刑事司法学院,治安学,治安1701,86.25,86.88,0.60,98,62.32/49,11/49,9/49,9/49,19/49,25/49,6/49,26,26,合格
6678,201721050047,刑事司法学院,治安学,治安1701,85.59,86.46,3.78,94,62.31/49,15/49,9/49,26/49,22/49,4/49,1/49,26,26,合格
6679,201721050178,刑事司法学院,治安学,治安1701,88.19,89.31,1.20,89,62.21/49,6/49,9/49,9/49,11/49,25/49,6/49,26,26,合格
6680,201721050092,刑事司法学院,治安学,治安1701,83.53,84.96,8.48,90,61.99/49,23/49,2/49,27/49,22/49,5/49,6/49,26,26,合格
6681,201721050325,刑事司法学院,治安学,治安1701,86.05,87.27,1.40,94,61.85/49,12/49,9/49,9/49,24/49,14/49,6/49,26,26,合格
6682,201721050118,刑事司法学院,治安学,治安1701,82.66,83.77,3.52,98,61.22/49,27/49,9/49,27/49,3/49,6/49,6/49,26,26,合格
6683,201721050301,刑事司法学院,治安学,治安1701,85.09,86.81,0.40,95,61.17/49,18/49,9/49,27/49,24/49,19/49,6/49,26,26,合格
6684,201721050169,刑事司法学院,治安学,治安1701,84.69,85.38,1.30,94,61.07/49,20/49,9/49,9/49,24/49,15/49,6/49,26,26,合格
6685,201721050065,刑事司法学院,治安学,治安1701,83.87,85.62,3.18,90,60.58/49,22/49,9/49,9/49,6/49,11/49,6/49,26,26,合格
6686,201721050091,刑事司法学院,治安学,治安1701,81.47,83.31,1.32,100,60.20/49,31/49,9/49,9/49,17/49,17/49,6/49,26,26,合格
6687,201721050291,刑事司法学院,治安学,治安1701,85.06,86.65,2.18,82,59.74/49,19/49,9/49,27/49,10/49,6/49,6/49,26,26,合格
6688,201721050087,刑事司法学院,治安学,治安1701,82.17,83.92,1.72,93,59.66/49,29/49,9/49,6/49,15/49,25/49,6/49,26,26,合格
6689,201721050017,刑事司法学院,治安学,治安1701,82.36,83.92,1.85,88,59.05/49,28/49,9/49,9/49,7/49,17/49,6/49,25,25,合格
6690,201721050058,刑事司法学院,治安学,治安1701,79.68,82.79,0.85,96,58.48/49,38/49,9/49,9/49,24/49,19/49,6/49,24,23,合格
6691,201721050070,刑事司法学院,治安学,治安1701,81.21,82.67,0.45,91,58.45/49,32/49,9/49,9/49,24/49,25/49,6/49,24,24,合格
6692,201721050032,刑事司法学院,治安学,治安1701,78.75,80.54,2.30,93,57.95/49,41/49,9/49,6/49,7/49,22/49,6/49,24,24,合格
6693,201721050037,刑事司法学院,治安学,治安1701,78.41,79.63,1.50,80,55.58/49,42/49,9/49,1/49,24/49,25/49,6/49,27,27,合格
6694,201721050324,刑事司法学院,治安学,治安1701,83.42,85.04,0,0,45.88/49,24/49,9/49,27/49,24/49,25/49,6/49,25,25,合格
6695,201721050303,刑事司法学院,治安学,治安1701,83.28,84.32,0,0,45.80/49,25/49,9/49,27/49,24/49,25/49,6/49,25,25,合格
6696,201721050113,刑事司法学院,治安学,治安1701,82.97,84.92,0,0,45.63/49,26/49,9/49,27/49,24/49,25/49,6/49,26,26,合格
6697,201721050128,刑事司法学院,治安学,治安1701,81.72,83.38,0,0,44.95/49,30/49,9/49,27/49,24/49,25/49,6/49,26,26,合格
6698,201721050001,刑事司法学院,治安学,治安1701,80.93,82.54,0,0,44.51/49,33/49,9/49,27/49,24/49,25/49,6/49,26,26,合格
6699,201721050020,刑事司法学院,治安学,治安1701,80.48,80.72,0,0,44.26/49,34/49,9/49,27/49,24/49,25/49,6/49,25,25,合格
6700,201721050090,刑事司法学院,治安学,治安1701,80.38,81.71,0,0,44.21/49,35/49,9/49,27/49,24/49,25/49,6/49,24,24,合格
6701,201721050018,刑事司法学院,治安学,治安1701,80.03,81.00,0,0,44.02/49,36/49,9/49,27/49,24/49,25/49,6/49,26,25,合格
6702,201721050121,刑事司法学院,治安学,治安1701,79.80,80.92,0,0,43.89/49,37/49,9/49,27/49,24/49,25/49,6/49,25,25,合格
6703,201721050036,刑事司法学院,治安学,治安1701,79.43,81.08,0,0,43.69/49,39/49,9/49,27/49,24/49,25/49,6/49,25,24,合格
6704,201721050109,刑事司法学院,治安学,治安1701,78.97,79.08,0,0,43.43/49,40/49,9/49,27/49,24/49,25/49,6/49,24,23,不合格
6705,201721050171,刑事司法学院,治安学,治安1701,78.21,80.16,0,0,43.02/49,43/49,9/49,27/49,24/49,25/49,6/49,25,25,合格
6706,201721050290,刑事司法学院,治安学,治安1701,76.08,78.04,0,0,41.84/49,44/49,9/49,27/49,24/49,25/49,6/49,26,25,合格
6707,201721050127,刑事司法学院,治安学,治安1701,75.95,74.96,0,0,41.77/49,45/49,9/49,27/49,24/49,25/49,6/49,25,23,合格
6708,201721050300,刑事司法学院,治安学,治安1701,75.17,77.76,0,0,41.34/49,46/49,9/49,27/49,24/49,25/49,6/49,25,24,不合格
6709,201721050123,刑事司法学院,治安学,治安1701,74.83,76.12,0,0,41.16/49,47/49,9/49,27/49,24/49,25/49,6/49,25,22,合格
6710,201721050284,刑事司法学院,治安学,治安1701,67.54,68.83,0,0,37.15/49,48/49,9/49,27/49,24/49,25/49,6/49,23,21,不合格
6711,201721050002,刑事司法学院,治安学,治安1701,64.34,67.62,0,0,35.39/49,49/49,9/49,27/49,24/49,25/49,6/49,22,17,合格
6712,201721050045,刑事司法学院,边防管理,边管1701,92.40,92.89,3.58,100,66.89/46,1/46,6/46,15/46,11/46,1/46,5/46,27,27,合格
6713,201721050012,刑事司法学院,边防管理,边管1701,90.88,91.84,3.60,98,65.76/46,2/46,6/46,1/46,6/46,20/46,5/46,25,25,合格
6714,201721050312,刑事司法学院,边防管理,边管1701,89.82,90.23,4.60,94,64.88/46,3/46,3/46,3/46,12/46,12/46,5/46,26,26,合格
6715,201721050033,刑事司法学院,边防管理,边管1701,88.07,89.23,6.10,96,64.67/46,6/46,6/46,15/46,1/46,6/46,5/46,26,26,合格
6716,201721050108,刑事司法学院,边防管理,边管1701,87.78,88.80,6.65,96,64.67/46,8/46,6/46,10/46,2/46,3/46,4/46,25,25,合格
6717,201721050150,刑事司法学院,边防管理,边管1701,86.01,86.65,7.15,100,64.45/46,16/46,6/46,15/46,3/46,2/46,2/46,26,26,合格
6718,201721050048,刑事司法学院,边防管理,边管1701,89.36,89.56,2.95,96,64.43/46,4/46,6/46,3/46,15/46,5/46,5/46,25,25,合格
6719,201721050016,刑事司法学院,边防管理,边管1701,87.09,87.00,7.80,94,64.34/46,9/46,4/46,15/46,6/46,4/46,2/46,24,24,合格
6720,201721050315,刑事司法学院,边防管理,边管1701,86.59,87.32,5.30,98,63.91/46,11/46,2/46,6/46,6/46,16/46,5/46,25,25,合格
6721,1605030138,刑事司法学院,边防管理,边管1701,85.21,86.48,3.75,96,62.39/46,20/46,5/46,2/46,9/46,20/46,5/46,27,27,合格
6722,201721050096,刑事司法学院,边防管理,边管1701,88.83,89.00,0.50,89,62.36/46,5/46,6/46,15/46,15/46,16/46,5/46,24,24,合格
6723,201721050025,刑事司法学院,边防管理,边管1701,87.93,88.52,0.45,92,62.30/46,7/46,6/46,15/46,15/46,20/46,5/46,25,25,合格
6724,201721050331,刑事司法学院,边防管理,边管1701,86.52,87.07,1.40,94,62.11/46,12/46,6/46,15/46,12/46,8/46,5/46,27,27,合格
6725,201721050172,刑事司法学院,边防管理,边管1701,86.23,87.28,1.20,94,61.89/46,14/46,6/46,6/46,15/46,20/46,5/46,25,25,合格
6726,201721050151,刑事司法学院,边防管理,边管1701,85.53,86.76,1.12,96,61.78/46,18/46,6/46,9/46,12/46,20/46,5/46,25,25,合格
6727,201721050042,刑事司法学院,边防管理,边管1701,86.61,87.44,1.50,91,61.74/46,10/46,6/46,15/46,15/46,7/46,5/46,25,25,合格
6728,201721050089,刑事司法学院,边防管理,边管1701,84.17,85.76,6.08,90,61.62/46,23/46,1/46,15/46,4/46,16/46,5/46,25,25,合格
6729,201721050165,刑事司法学院,边防管理,边管1701,85.31,86.44,1.15,95,61.52/46,19/46,6/46,10/46,15/46,13/46,5/46,25,25,合格
6730,201721050323,刑事司法学院,边防管理,边管1701,85.96,86.88,2.00,90,61.38/46,17/46,6/46,27/46,4/46,8/46,5/46,25,25,合格
6731,201721050308,刑事司法学院,边防管理,边管1701,86.27,87.12,0.00,92,61.25/46,13/46,6/46,27/46,15/46,20/46,5/46,26,26,合格
6732,201721050299,刑事司法学院,边防管理,边管1701,82.73,83.29,0.40,100,60.62/46,29/46,6/46,27/46,15/46,13/46,5/46,24,24,合格
6733,201721050106,刑事司法学院,边防管理,边管1701,81.85,82.69,4.75,94,60.54/46,31/46,6/46,27/46,15/46,20/46,1/46,26,26,不合格
6734,201721050116,刑事司法学院,边防管理,边管1701,83.17,84.67,1.35,94,60.25/46,28/46,6/46,6/46,15/46,15/46,5/46,24,24,合格
6735,201721050104,刑事司法学院,边防管理,边管1701,84.42,85.88,0.00,91,60.08/46,21/46,6/46,27/46,15/46,20/46,5/46,25,25,不合格
6736,201721050038,刑事司法学院,边防管理,边管1701,81.74,83.65,1.90,96,59.93/46,33/46,6/46,15/46,9/46,11/46,5/46,26,26,合格
6737,201721050135,刑事司法学院,边防管理,边管1701,83.19,84.56,0.75,93,59.93/46,27/46,6/46,10/46,15/46,20/46,5/46,27,27,合格
6738,201721050060,刑事司法学院,边防管理,边管1701,84.31,86.00,0.45,89,59.86/46,22/46,6/46,15/46,15/46,20/46,5/46,26,26,不合格
