序号,学号,性别,民族,学院,专业,班级,荣誉级别,荣誉类型,荣誉名称,颁奖单位,获得荣誉时间
2967,1606040112,女,汉族,刑事司法学院,法学（司）,司法1602,院级,团学先进个人,刑事司法学院年度表彰之年度人物,共青团刑事司法学院委员会,2018-12-20
2968,201721030309,男,汉族,金融学院,工程造价,造价1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
2969,1612030104,女,汉族,新闻与文化传播学院,汉语言文学,中文1601,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-01
2970,201721040435,女,汉族,法学院,法学,法1704,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
2971,201821040752,男,汉族,法学院,法学类,法1805,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
2972,1609010126,女,汉族,统计与数学学院,信息与计算科学,信科1601,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
2973,201821050075,男,汉族,刑事司法学院,公安学类,公安1803,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
2974,1606030150,女,汉族,工商管理学院,管理科学,管科1601,校级,团学先进个人,优秀军训助理,中南财经政法大学学生工作部,2018-09-30
2975,201821100097,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1801,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
2976,201721070042,女,汉族,财政税务学院,税收学,税务1702,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-06-01
2977,1609120130,女,汉族,统计与数学学院,金融数学,金数1601,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
2978,201821040275,男,汉族,法学院,法学类,法1806,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-04
2979,201721060600,女,汉族,工商管理学院,工商管理,工商1702,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
2980,201721060172,女,汉族,工商管理学院,市场营销,市营1702,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-20
2981,201721040169,男,汉族,文澜学院,经济管理试验班,经管1702,院级,团学先进个人,综合表彰之优秀学生,各学院,2019-05-04
2982,201721070191,男,汉族,财政税务学院,财政学,财政1703,院级,团学先进个人,青年马克思主义者培养工程-优秀学员,共青团中央,2019-05-01
2983,201721060013,女,汉族,工商管理学院,农林经济管理,农经1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-05
2984,201721080123,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
2985,201821040472,男,汉族,法学院,法学类,法1809,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-04
2986,1609100145,女,汉族,统计与数学学院,经济统计学,经统1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
2987,201721060239,男,汉族,工商管理学院,国际经济与贸易,国贸1702,院级,团学先进个人,校大运会院级综合表彰,各学院,2019-03-20
2988,201721040092,女,汉族,法学院,法学,法1705,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
2989,201721120196,女,汉族,新闻与文化传播学院,网络与新媒体,网媒1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-15
2990,201721030020,女,汉族,金融学院,保险学（精算）,保精1701,院级,团学先进个人,综合表彰之模范团干,各学院,2019-05-04
2991,201821040201,男,汉族,法学院,法学类,法1811,校级,团学先进个人,军训优秀学员,中南财经政法大学人武部,2018-10-26
2992,1605010104,男,汉族,刑事司法学院,侦查学,侦查1601,院级,团学先进个人,刑事司法学院年度表彰之年度人物,共青团刑事司法学院委员会,2019-01-01
2993,1606030109,男,汉族,工商管理学院,管理科学,管科1601,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2018-12-07
2994,201821040090,女,汉族,法学院,法学类,法1802,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
2995,201721050182,女,侗族,刑事司法学院,法学（司）,司法1701,院级,优秀学生组织主要负责人,刑事司法学院_学年综合表彰之优秀团队奖,共青团刑事司法学院委员会,2018-12-06
2996,201821030342,男,汉族,金融学院,金融学类,金融1805,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-04
2997,201721090047,男,汉族,统计与数学学院,信息与计算科学,信科1701,院级,优秀学生组织主要负责人,统计与数学学院-综合表彰之“优秀集体”,统计与数学学院,2018-12-15
2998,201721030003,女,汉族,金融学院,金融学,金融1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
2999,1604000920,女,汉族,法学院,法学,法1609,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3000,201821100110,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1805,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-01
3001,201821040444,女,汉族,法学院,法学类,法1812,院级,团学先进个人,校运会院级综合表彰,各学院,2018-11-11
3002,201721100010,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-05
3003,201721060042,女,汉族,会计学院（会计硕士专业学位教育中心）,国际会计（中澳班）,国会1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-27
3004,201721100045,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1701,校级,团学先进个人,心理健康节优秀个人,中南财经政法大学学生工作部,2019-05-30
3005,201821040160,女,汉族,法学院,法学类,法1809,校级,团学先进个人,军训优秀学员,中南财经政法大学人武部,2018-09-20
3006,1611030120,女,汉族,外国语学院,日语,日语1601,院级,团学先进个人,外国语学院-综合表彰-个人荣誉称号,共青团中南财经政法大学外国语学院分团委,2019-05-04
3007,1610010117,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,院级,团学先进个人,公共管理学院年终表彰之“十佳新星”,公共管理学院,2018-12-06
3008,201721070196,女,汉族,财政税务学院,财政学,财政1702,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-24
3009,1604000907,男,汉族,法学院,法学,法1609,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-01
3010,201721060346,女,汉族,工商管理学院,国际经济与贸易,国贸1702,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-30
3011,201721090090,女,汉族,统计与数学学院,经济统计学,经统1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
3012,201821100052,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1801,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-05
3013,201821080359,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1802,校级,团学先进个人,优秀大学生艺术团团员,共青团中南财经政法大学委员会,2019-09-27
3014,201821080311,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1803,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3015,201721030107,女,汉族,金融学院,工程管理,工程1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
3016,201721040037,女,蒙古族,法学院,法学,法1708,院级,团学先进个人,优秀新闻工作者,法学院,2019-05-04
3017,1603090141,女,汉族,金融学院,金融工程,金工1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-05
3018,201721040442,女,汉族,法学院,法学,法1703,院级,团学先进个人,法学院-年度综合表彰-个人荣誉称号,法学院,2018-12-08
3019,201721090147,女,布依族,统计与数学学院,信息与计算科学,信科1701,院级,团学先进个人,统计与数学学院-综合表彰之“十佳新星”,统计与数学学院,2018-12-06
3020,1611080135,女,苗族,外国语学院,商务英语,商英1601,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-22
3021,201721040627,男,汉族,法学院,法学,法1705,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
3022,201821030416,女,汉族,金融学院,金融学类,金融1803,院级,团学先进个人,优秀学生干事,各学院团委,2019-05-20
3023,1605060104,女,汉族,刑事司法学院,法学（司）,司法1601,院级,优秀学生组织主要负责人,刑事司法学院_综合表彰之优秀团队,共青团刑事司法学院委员会,2019-06-24
3024,201721090241,男,汉族,统计与数学学院,经济统计学,经统1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
3025,201721110136,女,汉族,外国语学院,英语,英语1703,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-05
3026,201821320021,女,汉族,法学院,法学类,法1801,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-04
3027,201721050299,男,汉族,刑事司法学院,边防管理,边管1701,院级,团学先进个人,综合表彰之模范团干,各学院,2019-05-04
3028,201721070193,男,汉族,财政税务学院,财政学,财政1702,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-04
3029,1607010143,女,汉族,财政税务学院,财政学,财政1601,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
3030,1610080104,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-02-01
3031,201721040180,女,汉族,法学院,法学,法1704,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-08
3032,1604001023,女,土家族,法学院,法学,法1610,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2018-05-04
3033,1607010214,女,汉族,财政税务学院,财政学,财政1602,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-04
3034,201512090215,女,汉族,新闻与文化传播学院,数字媒体艺术,媒体1702,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
3035,201721070154,男,汉族,财政税务学院,财政学,财政1703,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
3036,201821060069,女,汉族,工商管理学院,工商管理类,工商1801,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3037,201721120180,女,藏族,新闻与文化传播学院,广播电视学,广电1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-09
3038,201821110036,女,汉族,法学院,法学（中美）,国法1801,校级,团学先进个人,优秀学生干事,共青团中南财经政法大学委员会,2019-05-04
3039,201821040766,女,汉族,法学院,法学类,法1813,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-09-09
3040,201821040484,女,汉族,法学院,法学类,法1807,校级,团学先进个人,优秀大学生艺术团团员,共青团中南财经政法大学委员会,2019-05-04
3041,201721040802,女,汉族,刑事司法学院,法学（司）,司法1701,院级,优秀学生组织主要负责人,刑事司法学院_综合表彰之优秀团队,共青团刑事司法学院委员会,2018-12-20
3042,201821020047,女,汉族,经济学院,经济学,经济1804,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-08
3043,201721250284,女,汉族,中韩新媒体学院,视觉传达设计（动漫）,动漫1703,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3044,1604000201,男,汉族,法学院,法学,法1602,校级,团学先进个人,模范团干,共青团中南财经政法大学委员会,2019-05-04
3045,201821030051,男,汉族,金融学院,金融学类,金融1805,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-20
3046,201821090052,男,汉族,统计与数学学院,经济统计学（数/统中英）,国统1801,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
3047,201821100091,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1804,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-05
3048,201721120123,女,汉族,新闻与文化传播学院,新闻学,新闻1701,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-15
3049,201721040050,女,汉族,法学院,法学,民商1701,校级,团学先进个人, 青马工程-青年马克思主义者培养工程 ,共青团中央,2019-09-09
3050,201821120161,女,汉族,新闻与文化传播学院,数字媒体艺术,媒体1801,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-12-08
3051,1603050134,女,汉族,金融学院,金融学（CFA）,CFA1601,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-04
3052,201721070005,男,回族,财政税务学院,财政学,财政1702,院级,团学先进个人,青年马克思主义者培养工程-优秀学员,共青团中央,2019-05-28
3053,201821030289,女,汉族,金融学院,金融学类,金融1805,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-20
3054,201821100120,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1801,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-04-10
3055,201721090004,女,汉族,统计与数学学院,金融数学,金数1701,校级,团学先进个人,心理健康节优秀个人（优秀心理委员）,中南财经政法大学学生工作部,2019-05-30
3056,1606040213,女,汉族,工商管理学院,工商管理,工商1602,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-02-06
3057,201721100247,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
3058,1607010326,女,汉族,财政税务学院,财政学,财政1603,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-08
3059,201821090134,女,汉族,统计与数学学院,统计学类,统计1803,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
3060,201721130040,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-06-06
3061,201821030395,女,汉族,金融学院,金融学类,金融1803,院级,团学先进个人,优秀学生干事,各学院团委,2019-05-04
3062,201721040061,男,汉族,法学院,法学,民商1701,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-04
3063,201721090269,女,汉族,统计与数学学院,应用统计学,应统1701,院级,团学先进个人,综合表彰之优秀学生,各学院,2018-12-08
3064,1608020306,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1603,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2017-05-04
3065,201821040245,男,汉族,法学院,法学类,法1809,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-09-05
3066,201721250116,女,汉族,中韩新媒体学院,视觉传达设计（动漫）,动漫1702,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-04-24
3067,201821030375,男,汉族,金融学院,金融学类,金融1803,院级,优秀学生组织主要负责人,红旗团支部,各学院,2019-05-08
3068,201721250028,女,汉族,中韩新媒体学院,电影学（影像）,影像1704,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-04-24
3069,201821040422,女,汉族,法学院,法学类,法1811,校级,团学先进个人,军训优秀学员,中南财经政法大学人武部,2018-10-26
3070,201821110175,女,汉族,外国语学院,日语,日语1802,校级,团学先进个人,心理健康节优秀个人（优秀心理委员）,中南财经政法大学学生工作部,2019-06-09
3071,201721030453,男,汉族,金融学院,房地产开发与管理,房产1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3072,1605050136,男,汉族,刑事司法学院,侦查学,职侦1601,校级,团学先进个人,优秀军训助理,中南财经政法大学学生工作部,2018-09-30
3073,201721060628,女,土家族,工商管理学院,工商管理,工商1702,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-10-06
3074,201821030301,女,汉族,金融学院,金融学类,金融1806,校级,团学先进个人,心理健康节优秀个人（优秀心理委员）,中南财经政法大学学生工作部,2019-06-10
3075,1602040250,女,瑶族,经济学院,国际商务,国商1602,院级,优秀学生组织主要负责人,先进集体（班级）,各学院（综合表彰）,2019-05-04
3076,1603140104,女,汉族,金融学院,工程造价,造价1601,校级,优秀学生组织主要负责人,优秀社团主要负责人,共青团中南财经政法大学委员会,2019-05-04
3077,201821040820,女,布依族,法学院,法学类,法1809,院级,团学先进个人,校大运会院级综合表彰,各学院,2019-08-11
3078,1623010423,女,汉族,中韩新媒体学院,视觉传达设计（动漫）,动漫1604,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
3079,201821020201,女,土家族,经济学院,经济学,经济1803,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
3080,201721130089,男,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
3081,201821040334,女,汉族,法学院,法学类,法1809,院级,团学先进个人,优秀新闻工作者,法学院,2019-06-01
3082,201821060428,女,汉族,金融学院,金融学（中美）,国金1801,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-20
3083,201721080133,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3084,1611080223,女,汉族,外国语学院,商务英语,商英1602,校级,团学先进个人,团学骨干培训班,共青团中南财经政法大学委员会,2019-09-09
3085,201821070139,男,汉族,财政税务学院,财政学类,财政1803,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-31
3086,201821040241,男,汉族,法学院,法学类,法1813,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2018-05-27
3087,201721030312,女,汉族,金融学院,投资学,投资1702,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-06-08
3088,201721030450,女,汉族,金融学院,金融学（CFA）,CFA1701,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-04
3089,201821040792,女,汉族,法学院,法学类,法1808,校级,团学先进个人,军训优秀学员,中南财经政法大学学生工作部,2018-09-20
3090,201721020075,女,汉族,经济学院,国际商务,国商1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3091,201721050286,女,汉族,刑事司法学院,法学（司）,司法1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-02-07
3092,201721030093,女,汉族,金融学院,保险学,保险1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3093,201721030275,女,汉族,金融学院,金融学,金融1702,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-04
3094,201721030222,男,汉族,金融学院,保险学,保险1701,校级,团学先进个人,优秀（先锋）共青团员,共青团中南财经政法大学委员会,2019-05-04
3095,1609050105,男,汉族,信息与安全工程学院,计算机科学与技术,计科1601,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-01
3096,201721030254,男,汉族,金融学院,投资学,投资1701,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-04
3097,1611030218,女,汉族,外国语学院,日语,日语1602,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2019-05-19
3098,201821040085,女,汉族,法学院,法学类,法1816,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-04
3099,201821030483,男,汉族,金融学院,金融学类,金融1803,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-04-15
3100,1604000228,男,汉族,法学院,法学,法1602,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-08
3101,201821090023,女,汉族,统计与数学学院,统计学类,统计1802,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
3102,201821100086,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1805,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2018-05-04
3103,201821070183,女,汉族,财政税务学院,财政学类,财政1803,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3104,1613030143,女,满族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1601,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2018-12-10
3105,201721020020,女,汉族,经济学院,经济学,经济1704,院级,团学先进个人,经济学院-综合表彰-十佳青年,经济学院,2019-05-04
3106,201821120079,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1801,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
3107,1611060111,女,汉族,外国语学院,法语,法语1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3108,201821060285,女,汉族,工商管理学院,工商管理类,工商1805,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3109,201721030267,女,汉族,金融学院,保险学（精算）,保精1701,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
3110,201821050105,男,汉族,刑事司法学院,公安学类,公安1805,校级,团学先进个人,优秀大学生艺术团团员,共青团中南财经政法大学委员会,2019-03-10
3111,1610010146,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,校级,优秀学生组织主要负责人,优秀社团主要负责人,共青团中南财经政法大学委员会,2019-05-04
3112,201721100068,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1701,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-06-01
3113,201821030298,女,汉族,金融学院,管理科学与工程类,管工1803,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-04
3114,201821050207,男,汉族,刑事司法学院,公安学类,公安1804,院级,优秀学生组织主要负责人,刑事司法学院_学年综合表彰之优秀团队奖,共青团刑事司法学院委员会,2018-12-11
3115,201721030064,女,汉族,金融学院,保险学,保险1701,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-04
3116,201729110326,男,黎族,外国语学院,英语,英语1704,院级,优秀学生组织主要负责人,先进集体（班级）,各学院（综合表彰）,2019-05-01
3117,201821100138,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动关系,劳动1801,校级,团学先进个人,心理健康节优秀个人,中南财经政法大学学生工作部,2019-06-13
3118,1606040205,女,汉族,工商管理学院,工商管理,工商1602,院级,团学先进个人,校大运会院级综合表彰,各学院,2019-03-25
3119,201821070060,女,汉族,财政税务学院,财政学类,财政1804,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-05
3120,1603030140,男,汉族,金融学院,工程管理,工程1601,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
3121,201721050058,男,汉族,刑事司法学院,治安学,治安1701,院级,团学先进个人,综合表彰之模范团干,各学院,2019-09-05
3122,201721060378,女,汉族,工商管理学院,工商管理,工商1702,院级,团学先进个人,优秀心理工作者（优秀个人）,各学院,2019-06-04
3123,201721080057,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1702,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3124,1604000423,女,汉族,法学院,法学,法1604,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-04
3125,1632010120,女,汉族,文澜学院,经济管理试验班,经管1601,校级,团学先进个人,模范团干,共青团中南财经政法大学委员会,2019-05-07
3126,201721100010,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,院级,优秀学生组织主要负责人,先进集体（班级）,各学院（综合表彰）,2018-12-17
3127,1606090111,女,汉族,工商管理学院,电子商务（管理）,商务1601,院级,团学先进个人,工商管理学院_学年综合表彰之优秀个人,工商管理学院,2018-12-11
3128,201729080361,女,壮族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1701,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-23
3129,201721030053,女,汉族,金融学院,投资学,投资1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
3130,1604000619,女,汉族,法学院,法学,法1606,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
3131,201721120156,女,汉族,新闻与文化传播学院,汉语言文学,中文1701,校级,团学先进个人,优秀军训助理,中南财经政法大学学生工作部,2018-11-13
3132,201821040506,男,汉族,法学院,法学类,法1803,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-11-09
3133,201821110193,女,汉族,法学院,法学类,法1815,校级,团学先进个人,社团活动先进个人,共青团中南财经政法大学委员会,2019-05-04
3134,201721080261,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
3135,1606050139,女,汉族,工商管理学院,市场营销,市营1601,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3136,201721040207,男,汉族,法学院,法学,民商1702,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-06-19
3137,201821030327,男,汉族,金融学院,金融学类,金融1803,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
3138,201721050047,男,汉族,刑事司法学院,治安学,治安1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-09
3139,201821080193,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1801,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
3140,201721070074,女,汉族,财政税务学院,税收学,税务1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-07
3141,201821040255,女,汉族,法学院,法学类,法1807,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3142,1612090216,男,汉族,新闻与文化传播学院,数字媒体艺术,媒体1602,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
3143,201821120032,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1803,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-09
3144,1603010246,女,拉祜族,金融学院,金融学,金融1602,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-04
3145,201821040355,女,汉族,法学院,法学类,法1814,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
3146,1603080149,女,白族,金融学院,投资学,投资1601,院级,团学先进个人,综合表彰之模范团干,各学院,2019-05-04
3147,201721040068,女,汉族,法学院,法学,外法1702,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-05-04
3148,201721030038,女,汉族,财政税务学院,税收学,税务1703,院级,团学先进个人,综合表彰之模范团干,各学院,2019-05-06
3149,1608010308,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1601,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-04-07
3150,1608030443,女,蒙古族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1604,校级,优秀学生干部,优秀学生干部,共青团中南财经政法大学委员会,2019-05-04
3151,1604000920,女,汉族,法学院,法学,法1609,校级,团学先进个人,党校党员发展对象培训优秀学员,中共中南财经政法大学委员会党校,2019-05-20
3152,201821050162,男,汉族,刑事司法学院,公安学类,公安1802,校级,团学先进个人,军训优秀学员,中南财经政法大学学生工作部,2018-11-13
3153,201721140005,女,汉族,法学院,法学,民商1701,校级,优秀学生组织主要负责人,红旗团支部,共青团中南财经政法大学委员会,2019-05-30
3154,201721040392,女,汉族,法学院,法学,法1701,校级,团学先进个人,优秀学生通讯员,中南财经政法大学党委宣传部,2019-05-01
3155,201721080032,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
